<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zarafshan.ETF,20231024,124000.00,124400.00,123710.00,124150.00,39487319813,318061,465,D,123791.00,123998.00
Zarafshan.ETF,20231023,124000.00,124010.00,123501.00,123791.00,25529038245,206227,453,D,123522.00,123710.00
Zarafshan.ETF,20231022,121500.00,124200.00,121500.00,123522.00,28298645721,229098,501,D,122935.00,123802.00
Zarafshan.ETF,20231021,123000.00,123800.00,122500.00,122935.00,31275953488,254410,565,D,124142.00,122800.00
Zarafshan.ETF,20231018,124000.00,124900.00,123890.00,124142.00,71610201609,576839,836,D,121773.00,123892.00
Zarafshan.ETF,20231017,120672.00,122700.00,120672.00,121773.00,24736292815,203135,542,D,120498.00,122610.00
Zarafshan.ETF,20231016,121200.00,121200.00,120010.00,120498.00,31103581569,258125,602,D,122453.00,120900.00
Zarafshan.ETF,20231015,122900.00,123275.00,121500.00,122453.00,39023832033,318683,462,D,123321.00,123146.00
Zarafshan.ETF,20231014,123020.00,124830.00,122521.00,123321.00,37995444301,308101,649,D,121633.00,123013.00
Zarafshan.ETF,20231011,120900.00,122600.00,120000.00,121633.00,52149046732,428741,698,D,121509.00,121739.00
Zarafshan.ETF,20231010,125990.00,125990.00,120100.00,121509.00,111950010215,921328,1468,D,128394.00,120901.00
Zarafshan.ETF,20231009,130000.00,130250.00,126650.00,128394.00,196018658318,1526694,1871,D,126194.00,128321.00
Zarafshan.ETF,20231008,128800.00,128800.00,124112.00,126194.00,154993664893,1228215,1430,D,118118.00,126651.00
Zarafshan.ETF,20231007,116700.00,120200.00,116700.00,118118.00,35280359484,298688,506,D,115321.00,119505.00
Zarafshan.ETF,20231004,115720.00,115790.00,115190.00,115321.00,17082787745,148132,290,D,115984.00,115690.00
Zarafshan.ETF,20231002,115800.00,116200.00,115736.00,115984.00,9820620215,84672,211,D,115592.00,116078.00
Zarafshan.ETF,20231001,115450.00,116153.00,115150.00,115592.00,26450760025,228829,432,D,115294.00,115500.00
Zarafshan.ETF,20230930,115500.00,116006.00,115100.00,115294.00,18913368509,164044,424,D,116323.00,115601.00
Zarafshan.ETF,20230927,116316.00,116670.00,115551.00,116323.00,24139339270,207520,456,D,116733.00,116000.00
Zarafshan.ETF,20230926,117550.00,118990.00,116200.00,116733.00,29216515915,250284,587,D,117383.00,116960.00
Zarafshan.ETF,20230925,117438.00,118300.00,117002.00,117383.00,9417731456,80231,292,D,117733.00,117172.00
Zarafshan.ETF,20230923,118185.00,118185.00,117610.00,117733.00,12563631216,106713,276,D,118076.00,117810.00
Zarafshan.ETF,20230920,118340.00,119356.00,117500.00,118076.00,13180339233,111626,331,D,118926.00,118185.00
Zarafshan.ETF,20230919,119200.00,119200.00,118740.00,118926.00,14426690397,121308,277,D,119071.00,119065.00
Zarafshan.ETF,20230918,119990.00,119990.00,118994.00,119071.00,25005649729,210007,374,D,120289.00,118999.00
Zarafshan.ETF,20230917,121199.00,121199.00,120000.00,120289.00,17580530267,146153,284,D,120748.00,120101.00
Zarafshan.ETF,20230913,120988.00,121000.00,120500.00,120748.00,12110028073,100292,248,D,119906.00,121000.00
Zarafshan.ETF,20230912,120430.00,120430.00,119660.00,119906.00,14602798967,121785,338,D,120505.00,119759.00
Zarafshan.ETF,20230911,121190.00,121190.00,120200.00,120505.00,10802990923,89648,235,D,120434.00,120440.00
Zarafshan.ETF,20230910,121197.00,121197.00,119995.00,120434.00,10733165056,89121,237,D,120739.00,120411.00
Zarafshan.ETF,20230909,120295.00,121430.00,120295.00,120739.00,22961095266,190171,363,D,120104.00,120940.00
Zarafshan.ETF,20230905,120018.00,120934.00,119645.00,120104.00,12514647306,104198,252,D,121148.00,120219.00
Zarafshan.ETF,20230904,121450.00,121462.00,120251.00,121148.00,43677811370,360532,439,D,121177.00,120940.00
Zarafshan.ETF,20230903,120227.00,121800.00,120227.00,121177.00,19073489937,157402,483,D,118823.00,120910.00
Zarafshan.ETF,20230902,118900.00,119477.00,118255.00,118823.00,30743174139,258730,330,D,119170.00,119300.00
Zarafshan.ETF,20230830,119620.00,119960.00,118401.00,119170.00,16447179404,138015,373,D,119048.00,118500.00
Zarafshan.ETF,20230829,119358.00,119370.00,118982.00,119048.00,13495060267,113358,223,D,118982.00,118987.00
Zarafshan.ETF,20230828,118453.00,119280.00,118453.00,118982.00,13853231968,116431,252,D,118840.00,118895.00
Zarafshan.ETF,20230827,118101.00,119150.00,118101.00,118840.00,30836821338,259482,381,D,118298.00,118453.00
Zarafshan.ETF,20230826,119450.00,119450.00,118001.00,118298.00,38816134144,328121,475,D,118883.00,118399.00
Zarafshan.ETF,20230823,119300.00,119300.00,118512.00,118883.00,58353545892,490849,809,D,118900.00,118903.00
Zarafshan.ETF,20230822,118900.00,119980.00,118628.00,118900.00,82101192880,690507,838,D,118085.00,118899.00
Zarafshan.ETF,20230821,118840.00,118840.00,117590.00,118085.00,18752068260,158801,278,D,118712.00,118469.00
Zarafshan.ETF,20230820,118400.00,121000.00,118121.00,118712.00,21815536920,183768,468,D,118410.00,118739.00
Zarafshan.ETF,20230819,118999.00,119499.00,118171.00,118410.00,32306052279,272833,636,D,120374.00,118250.00
Zarafshan.ETF,20230816,121480.00,121480.00,119990.00,120374.00,11527385679,95763,347,D,120751.00,120042.00
Zarafshan.ETF,20230815,120788.00,121300.00,120210.00,120751.00,26106185287,216199,295,D,120892.00,120322.00
Zarafshan.ETF,20230814,121920.00,121920.00,120100.00,120892.00,32079162867,265353,553,D,121069.00,120788.00
Zarafshan.ETF,20230813,120200.00,121850.00,120200.00,121069.00,30825581105,254612,570,D,118916.00,120901.00
Zarafshan.ETF,20230812,120040.00,120040.00,117470.00,118916.00,38520107407,323926,704,D,123584.00,119793.00
Zarafshan.ETF,20230809,122950.00,123790.00,122800.00,123584.00,19470531299,157549,316,D,122596.00,123705.00
Zarafshan.ETF,20230808,122900.00,122990.00,122101.00,122596.00,11729084229,95673,195,D,123249.00,122925.00
Zarafshan.ETF,20230807,123020.00,124000.00,122952.00,123249.00,18661697549,151415,311,D,123284.00,123301.00
Zarafshan.ETF,20230806,124700.00,124700.00,122803.00,123284.00,19934599286,161697,336,D,123861.00,123338.00
Zarafshan.ETF,20230805,126980.00,126980.00,122980.00,123861.00,52824644436,426484,772,D,126018.00,123690.00
Zarafshan.ETF,20230801,124500.00,127800.00,123000.00,126018.00,76095445915,603845,924,D,120554.00,127700.00
Zarafshan.ETF,20230731,119450.00,121800.00,119450.00,120554.00,31389833248,260380,398,D,119233.00,121400.00
Zarafshan.ETF,20230730,121700.00,121700.00,117610.00,119233.00,69299051442,581208,931,D,120328.00,119100.00
Zarafshan.ETF,20230729,119939.00,120900.00,119800.00,120328.00,27946215496,232250,442,D,120614.00,120779.00
Zarafshan.ETF,20230726,120020.00,122000.00,120000.00,120614.00,20811304114,172544,461,D,118340.00,120750.00
Zarafshan.ETF,20230725,116840.00,119620.00,116840.00,118340.00,27560131287,232889,400,D,116330.00,118705.00
Zarafshan.ETF,20230724,115800.00,118600.00,115013.00,116330.00,32440265212,278863,461,D,115715.00,116835.00
Zarafshan.ETF,20230723,116800.00,116800.00,114831.00,115715.00,34269166931,296151,627,D,117396.00,115800.00
Zarafshan.ETF,20230722,118004.00,118600.00,116965.00,117396.00,16900082566,143958,478,D,118336.00,117149.00
Zarafshan.ETF,20230719,118440.00,118800.00,117900.00,118336.00,11523579402,97380,326,D,119284.00,118099.00
Zarafshan.ETF,20230718,118388.00,120000.00,118388.00,119284.00,30397826480,254835,399,D,118080.00,119158.00
Zarafshan.ETF,20230717,118799.00,118799.00,116601.00,118080.00,20064704724,169925,494,D,117718.00,118399.00
Zarafshan.ETF,20230716,119459.00,119459.00,117500.00,117718.00,23230592702,197341,535,D,120501.00,118000.00
Zarafshan.ETF,20230715,119900.00,120998.00,119900.00,120501.00,116544506527,967166,431,D,119835.00,120480.00
Zarafshan.ETF,20230712,118059.00,119989.00,117400.00,119835.00,116747738841,974235,436,D,119078.00,119898.00
Zarafshan.ETF,20230711,121900.00,121900.00,118526.00,119078.00,14131059159,118671,420,D,120770.00,119053.00
Zarafshan.ETF,20230710,121000.00,121005.00,120503.00,120770.00,13453088862,111394,355,D,122375.00,120959.00
Zarafshan.ETF,20230709,122999.00,123090.00,122000.00,122375.00,557226839963,4553428,846,D,124026.00,122300.00
Zarafshan.ETF,20230708,124520.00,125103.00,123403.00,124026.00,22650123113,182624,301,D,123403.00,123411.00
Zarafshan.ETF,20230705,124000.00,124000.00,122310.00,123403.00,26463902927,214451,506,D,123886.00,123930.00
Zarafshan.ETF,20230704,124805.00,124805.00,123600.00,123886.00,11356248514,91667,336,D,125562.00,123890.00
Zarafshan.ETF,20230703,125500.00,126483.00,124550.00,125562.00,18887242158,150422,513,D,124381.00,124805.00
Zarafshan.ETF,20230702,123010.00,124900.00,123010.00,124381.00,29200607975,234767,467,D,122206.00,124820.00
Zarafshan.ETF,20230701,121550.00,122500.00,121550.00,122206.00,31265579970,255843,604,D,120188.00,122177.00
Zarafshan.ETF,20230628,120648.00,120880.00,119804.00,120188.00,10972677467,91296,255,D,120129.00,120506.00
Zarafshan.ETF,20230627,120151.00,120897.00,119400.00,120129.00,10621687670,88419,261,D,119790.00,120795.00
Zarafshan.ETF,20230626,120770.00,120996.00,118750.00,119790.00,22183347844,185185,440,D,121160.00,120200.00
Zarafshan.ETF,20230625,122120.00,122120.00,120540.00,121160.00,23709628563,195688,428,D,121040.00,120785.00
Zarafshan.ETF,20230624,121500.00,121988.00,119336.00,121040.00,66445119314,548952,578,D,118158.00,121189.00
Zarafshan.ETF,20230621,118000.00,119240.00,117000.00,118158.00,20582684510,174196,445,D,118373.00,118969.00
Zarafshan.ETF,20230620,117000.00,119200.00,117000.00,118373.00,37079146081,313240,709,D,117066.00,119140.00
Zarafshan.ETF,20230619,119500.00,119500.00,116400.00,117066.00,72911597838,622825,1051,D,120700.00,116990.00
Zarafshan.ETF,20230618,121800.00,121890.00,120130.00,120700.00,41677715371,345301,622,D,123079.00,120230.00
Zarafshan.ETF,20230617,125685.00,126600.00,120660.00,123079.00,47421009952,385290,777,D,124044.00,120989.00
Zarafshan.ETF,20230614,125200.00,126000.00,123000.00,124044.00,23130062027,186467,555,D,124259.00,123900.00
Zarafshan.ETF,20230613,123790.00,125770.00,121891.00,124259.00,43941555104,353629,832,D,118307.00,123616.00
Zarafshan.ETF,20230612,116520.00,120544.00,116520.00,118307.00,31549388405,266673,634,D,119965.00,120544.00
Zarafshan.ETF,20230611,122022.00,122980.00,118500.00,119965.00,44893061397,374217,865,D,122033.00,118620.00
Zarafshan.ETF,20230610,123600.00,123600.00,120140.00,122033.00,70103366468,574461,1138,D,125463.00,123396.00
Zarafshan.ETF,20230607,127700.00,127700.00,124759.00,125463.00,52103894726,415294,1103,D,129126.00,125397.00
Zarafshan.ETF,20230606,129600.00,130000.00,128490.00,129126.00,26418890878,204597,678,D,129584.00,128490.00
Zarafshan.ETF,20230603,130600.00,130600.00,129100.00,129584.00,31194687070,240730,525,D,129941.00,129760.00
Zarafshan.ETF,20230531,131500.00,131500.00,129580.00,129941.00,24260155363,186701,746,D,133199.00,129915.00
Zarafshan.ETF,20230530,132600.00,134399.00,132507.00,133199.00,47428496672,356073,551,D,134706.00,134000.00
Zarafshan.ETF,20230529,132456.00,136932.00,132456.00,134706.00,32373109979,240324,696,D,132490.00,132500.00
Zarafshan.ETF,20230528,135000.00,135000.00,131700.00,132490.00,32322909004,243965,910,D,136649.00,132456.00
Zarafshan.ETF,20230527,138600.00,138600.00,135672.00,136649.00,25211000635,184495,807,D,140858.00,136745.00
Zarafshan.ETF,20230524,140815.00,141200.00,139334.00,140858.00,17562406581,124682,412,D,141053.00,140903.00
Zarafshan.ETF,20230523,144000.00,144000.00,138610.00,141053.00,29538715385,209416,749,D,143594.00,140803.00
Zarafshan.ETF,20230522,142000.00,143900.00,142000.00,143594.00,39016051839,271710,877,D,139733.00,143595.00
Zarafshan.ETF,20230521,137499.00,140990.00,136800.00,139733.00,44880832263,321191,809,D,132568.00,139730.00
Zarafshan.ETF,20230520,131200.00,134990.00,130000.00,132568.00,36727526076,277047,782,D,131533.00,134699.00
Zarafshan.ETF,20230517,134600.00,134600.00,131100.00,131533.00,53688823442,408179,1081,D,134806.00,131510.00
Zarafshan.ETF,20230515,135997.00,135997.00,133102.00,134806.00,33704032666,250019,548,D,136704.00,135729.00
Zarafshan.ETF,20230514,135770.00,137494.00,135200.00,136704.00,41953640713,306894,828,D,133807.00,135205.00
Zarafshan.ETF,20230513,136360.00,136360.00,132481.00,133807.00,46084251670,344408,882,D,138456.00,133698.00
Zarafshan.ETF,20230510,142148.00,142148.00,137400.00,138456.00,30480732647,220148,714,D,141862.00,138700.00
Zarafshan.ETF,20230509,141113.00,142500.00,141113.00,141862.00,42863267279,302148,788,D,139044.00,142148.00
Zarafshan.ETF,20230508,137299.00,140430.00,137299.00,139044.00,100927249608,725863,1131,D,137449.00,138300.00
Zarafshan.ETF,20230507,141500.00,141500.00,137000.00,137449.00,195262500135,1420618,1461,D,145143.00,137840.00
Zarafshan.ETF,20230506,147230.00,147230.00,143900.00,145143.00,64241157596,442607,1241,D,146185.00,144922.00
Zarafshan.ETF,20230503,144000.00,147640.00,142900.00,146185.00,77531112143,530363,1184,D,147385.00,147230.00
Zarafshan.ETF,20230502,151000.00,151000.00,145510.00,147385.00,102110506221,692814,2066,D,152279.00,146000.00
Zarafshan.ETF,20230501,153700.00,157450.00,149500.00,152279.00,149738023277,983314,2153,D,149544.00,151998.00
Zarafshan.ETF,20230430,149500.00,151400.00,146500.00,149544.00,291476144764,1949105,1975,D,144565.00,150800.00
Zarafshan.ETF,20230429,143500.00,149800.00,143500.00,144565.00,1255682932446,8685942,3085,D,136613.00,146350.00
Zarafshan.ETF,20230426,133400.00,138901.00,133400.00,136613.00,107654617233,788024,1365,D,132802.00,138700.00
Zarafshan.ETF,20230425,133200.00,133200.00,132500.00,132802.00,40602320905,305736,717,D,133164.00,132999.00
Zarafshan.ETF,20230424,133600.00,133700.00,132800.00,133164.00,78660807680,590706,727,D,133458.00,133200.00
Zarafshan.ETF,20230419,133300.00,133900.00,132450.00,133458.00,49062416299,367625,810,D,132645.00,133455.00
Zarafshan.ETF,20230418,134100.00,134100.00,132000.00,132645.00,74496127154,561622,950,D,132581.00,132450.00
Zarafshan.ETF,20230417,132950.00,132950.00,132405.00,132581.00,36081323799,272146,715,D,129804.00,132445.00
Zarafshan.ETF,20230416,130500.00,130889.00,128500.00,129804.00,45613184221,351401,847,D,130794.00,130868.00
Zarafshan.ETF,20230415,131306.00,132750.00,130000.00,130794.00,47515872908,363287,1162,D,132706.00,130889.00
Zarafshan.ETF,20230411,131690.00,134269.00,131690.00,132706.00,47436709604,357458,993,D,129639.00,132003.00
Zarafshan.ETF,20230410,130640.00,130640.00,128010.00,129639.00,47301085093,364867,1022,D,134231.00,130100.00
Zarafshan.ETF,20230409,134899.00,135669.00,133013.00,134231.00,60692363868,452148,1499,D,135669.00,133400.00
Zarafshan.ETF,20230408,138930.00,138930.00,133920.00,135669.00,58255583327,429396,1155,D,135257.00,135902.00
Zarafshan.ETF,20230405,133400.00,136200.00,132800.00,135257.00,105964291038,783429,1589,D,130264.00,136013.00
Zarafshan.ETF,20230404,133000.00,133000.00,128211.00,130264.00,115144733038,883935,2173,D,137238.00,130750.00
Zarafshan.ETF,20230403,140411.00,140412.00,134840.00,137238.00,94889184096,691422,2112,D,138512.00,134980.00
Zarafshan.ETF,20230329,137000.00,140000.00,136888.00,138512.00,93071419578,671936,1516,D,133683.00,139939.00
Zarafshan.ETF,20230328,132301.00,134357.00,132301.00,133683.00,69534815371,520146,1217,D,131777.00,134240.00
Zarafshan.ETF,20230327,130400.00,132499.00,130080.00,131777.00,72380333046,549264,1139,D,129632.00,132004.00
Zarafshan.ETF,20230326,137000.00,137000.00,128200.00,129632.00,89204482296,688137,1643,D,135230.00,129020.00
Zarafshan.ETF,20230325,134918.00,137500.00,133752.00,135230.00,103713189693,766937,1777,D,127960.00,134299.00
Zarafshan.ETF,20230319,127350.00,128593.00,127090.00,127960.00,148466723033,1160263,1556,D,124797.00,128140.00
Zarafshan.ETF,20230318,123400.00,127000.00,122000.00,124797.00,120715655458,967296,1659,D,117567.00,125300.00
Zarafshan.ETF,20230315,119510.00,119510.00,115010.00,117567.00,107626089810,915448,1751,D,116027.00,117800.00
Zarafshan.ETF,20230314,113800.00,116939.00,113800.00,116027.00,106737033608,919929,1256,D,108628.00,116521.00
Zarafshan.ETF,20230313,110516.00,110516.00,106000.00,108628.00,79536150395,732191,1154,D,104683.00,109255.00
Zarafshan.ETF,20230312,100200.00,108900.00,100200.00,104683.00,163219223433,1559175,2258,D,101027.00,105500.00
Zarafshan.ETF,20230311,101706.00,103490.00,99011.00,101027.00,144606121381,1431363,2143,D,109068.00,99012.00
Zarafshan.ETF,20230307,110720.00,110720.00,106940.00,109068.00,130700907986,1198342,1533,D,112696.00,109879.00
Zarafshan.ETF,20230306,113300.00,113700.00,111500.00,112696.00,189331614694,1680028,1676,D,117164.00,112517.00
Zarafshan.ETF,20230305,118430.00,118430.00,113470.00,117164.00,606647609638,5177754,2250,D,123014.00,117206.00
Zarafshan.ETF,20230304,120000.00,126000.00,118500.00,123014.00,190930680904,1552103,2163,D,117463.00,124501.00
Zarafshan.ETF,20230301,121001.00,121001.00,115701.00,117463.00,160569844740,1366983,2509,D,126754.00,117505.00
Zarafshan.ETF,20230228,129495.00,129495.00,124000.00,126754.00,122642802131,967565,2175,D,130306.00,128990.00
Zarafshan.ETF,20230227,134500.00,136990.00,127101.00,130306.00,210913969515,1618610,4217,D,141223.00,127111.00
Zarafshan.ETF,20230226,148000.00,148000.00,134641.00,141223.00,259817533545,1839763,3077,D,137691.00,134641.00
Zarafshan.ETF,20230225,137200.00,138674.00,135640.00,137691.00,293636378624,2132575,2379,D,126068.00,138674.00
Zarafshan.ETF,20230222,123890.00,128000.00,123850.00,126068.00,186001570488,1475411,2000,D,120278.00,125896.00
Zarafshan.ETF,20230221,124220.00,124220.00,116614.00,120278.00,144008824567,1197302,2349,D,127041.00,118202.00
Zarafshan.ETF,20230220,138000.00,138000.00,122758.00,127041.00,247748971123,1950155,2840,D,125902.00,125704.00
Zarafshan.ETF,20230219,125000.00,126468.00,124500.00,125902.00,127413061667,1011999,1586,D,114971.00,126468.00
Zarafshan.ETF,20230215,114999.00,118999.00,114500.00,114971.00,791813898550,6887089,2781,D,111810.00,116210.00
Zarafshan.ETF,20230214,117398.00,117398.00,111000.00,111810.00,348126801052,3113558,1986,D,110214.00,112886.00
Zarafshan.ETF,20230213,111821.00,111821.00,109210.00,110214.00,54589055927,495302,1033,D,108767.00,111265.00
Zarafshan.ETF,20230212,105200.00,110200.00,105200.00,108767.00,104487920017,960654,1294,D,103383.00,109600.00
Zarafshan.ETF,20230208,103010.00,103960.00,103010.00,103383.00,26218966607,253610,474,D,103182.00,103950.00
Zarafshan.ETF,20230207,103622.00,103689.00,102860.00,103182.00,57868072011,560837,590,D,103566.00,103400.00
Zarafshan.ETF,20230206,103000.00,103999.00,102585.00,103566.00,75318000767,727245,728,D,101068.00,103621.00
Zarafshan.ETF,20230205,101020.00,102799.00,98910.00,101068.00,44767835078,442949,931,D,103703.00,101729.00
Zarafshan.ETF,20230201,103830.00,104500.00,102400.00,103703.00,30209140750,291303,663,D,101407.00,103846.00
Zarafshan.ETF,20230131,102469.00,103741.00,98900.00,101407.00,44156784504,435443,843,D,103114.00,102900.00
Zarafshan.ETF,20230130,105000.00,105400.00,101986.00,103114.00,51399285305,498471,929,D,101657.00,102455.00
Zarafshan.ETF,20230129,100195.00,103289.00,98460.00,101657.00,96306501343,947366,1494,D,98787.00,102595.00
Zarafshan.ETF,20230128,98000.00,99900.00,95000.00,98787.00,73317390277,742174,1102,D,92112.00,98460.00
Zarafshan.ETF,20230125,90289.00,95000.00,88100.00,92112.00,90613496896,983737,1360,D,93184.00,94900.00
Zarafshan.ETF,20230124,97500.00,97500.00,91010.00,93184.00,77838769141,835321,1737,D,100301.00,92400.00
Zarafshan.ETF,20230123,107200.00,107200.00,97920.00,100301.00,110694758508,1103628,1875,D,107298.00,98000.00
Zarafshan.ETF,20230122,109223.00,109223.00,104000.00,107298.00,113270929552,1055664,1746,D,99294.00,107474.00
Zarafshan.ETF,20230121,95499.00,101816.00,95499.00,99294.00,95645796893,963254,1513,D,92672.00,101815.00
Zarafshan.ETF,20230118,91999.00,95000.00,91999.00,92672.00,98684316672,1064875,1505,D,89595.00,92449.00
Zarafshan.ETF,20230117,88736.00,90100.00,88736.00,89595.00,55503672724,619496,726,D,87653.00,89602.00
Zarafshan.ETF,20230116,87010.00,88198.00,86820.00,87653.00,63423043108,723573,906,D,85938.00,88000.00
Zarafshan.ETF,20230114,85010.00,86591.00,85010.00,85938.00,83165723082,967741,1012,D,84592.00,86510.00
Zarafshan.ETF,20230111,84396.00,85190.00,84010.00,84592.00,43958039459,519645,538,D,84419.00,84994.00
Zarafshan.ETF,20230110,84195.00,85000.00,84147.00,84419.00,41308029270,489324,619,D,84082.00,84488.00
Zarafshan.ETF,20230109,84555.00,84555.00,83501.00,84082.00,52530850670,624761,848,D,84111.00,84146.00
Zarafshan.ETF,20230108,84601.00,84880.00,83570.00,84111.00,127192448896,1512200,1597,D,82380.00,84000.00
Zarafshan.ETF,20230107,82850.00,84410.00,73467.00,82380.00,271550141373,3296299,2577,D,81629.00,82720.00
Zarafshan.ETF,20230104,81200.00,82890.00,80068.00,81629.00,97048229224,1188888,1031,D,81180.00,81402.00
Zarafshan.ETF,20230103,82359.00,82400.00,80150.00,81180.00,73749772067,908467,800,D,83219.00,81542.00
Zarafshan.ETF,20230102,82999.00,83999.00,82600.00,83219.00,49859390338,599132,643,D,80283.00,83600.00
Zarafshan.ETF,20230101,77900.00,82999.00,77830.00,80283.00,73315159611,913204,1034,D,78979.00,82000.00
