<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
248150,248110,253720,252400,4190,1.69%,2021-02-27,1399/12/09
246510,246410,252520,248210,1790,0.73%,2021-02-24,1399/12/06
241810,241790,246520,246420,4540,1.88%,2021-02-23,1399/12/05
242510,241790,243750,241880,650,0.27%,2021-02-22,1399/12/04
249970,242400,250030,242530,7460,3.08%,2021-02-21,1399/12/03
251750,249920,252250,249990,1720,0.69%,2021-02-20,1399/12/02
251710,251640,253620,251710,40,0.02%,2021-02-18,1399/11/30
249780,249740,251850,251750,2010,0.80%,2021-02-17,1399/11/29
249820,249740,249850,249740,-,-,2021-02-16,1399/11/28
249780,249740,249850,249740,30,0.01%,2021-02-15,1399/11/27
249830,249740,249850,249770,40,0.02%,2021-02-14,1399/11/26
247040,246940,249850,249810,2850,1.15%,2021-02-13,1399/11/25
245960,245940,247050,246960,5930,2.46%,2021-02-11,1399/11/23
238970,238940,241050,241030,4090,1.73%,2021-02-09,1399/11/21
237050,236940,237050,236940,20,0.01%,2021-02-08,1399/11/20
237490,236940,237550,236960,590,0.25%,2021-02-07,1399/11/19
237520,237440,237550,237550,80,0.03%,2021-02-06,1399/11/18
237500,237440,237550,237470,190,0.08%,2021-02-04,1399/11/16
238680,237640,238750,237660,1050,0.44%,2021-02-03,1399/11/15
238650,238640,238750,238710,10,-,2021-02-02,1399/11/14
239170,238640,239170,238720,490,0.21%,2021-02-01,1399/11/13
237180,237140,239250,239210,2040,0.86%,2021-01-31,1399/11/12
232050,232040,237250,237170,5060,2.18%,2021-01-30,1399/11/11
234070,232040,234150,232110,2020,0.87%,2021-01-28,1399/11/09
229150,229140,234150,234130,4950,2.16%,2021-01-27,1399/11/08
229720,229140,229750,229180,480,0.21%,2021-01-26,1399/11/07
224250,224240,229750,229660,5320,2.37%,2021-01-25,1399/11/06
224340,224240,224350,224340,20,0.01%,2021-01-24,1399/11/05
226530,224240,226530,224320,2230,0.99%,2021-01-23,1399/11/04
226510,226440,226550,226550,970,0.43%,2021-01-21,1399/11/02
217940,217840,227550,227520,9570,4.39%,2021-01-20,1399/11/01
215900,203860,217950,217950,60,0.03%,2021-01-19,1399/10/30
229550,217900,229550,218010,11460,5.26%,2021-01-18,1399/10/29
239540,229440,239540,229470,10060,4.38%,2021-01-16,1399/10/27
242870,239440,242950,239530,5450,2.28%,2021-01-14,1399/10/25
248520,244940,248550,244980,3460,1.41%,2021-01-13,1399/10/24
248540,248440,248550,248440,50,0.02%,2021-01-12,1399/10/23
248450,248440,249550,248490,30,0.01%,2021-01-11,1399/10/22
248690,245840,248690,248520,140,0.06%,2021-01-10,1399/10/21
255550,248640,255550,248660,6850,2.75%,2021-01-09,1399/10/20
257530,255440,257550,255510,3030,1.19%,2021-01-07,1399/10/18
259030,258440,259050,258540,480,0.19%,2021-01-06,1399/10/17
257740,257640,259050,259020,1380,0.54%,2021-01-05,1399/10/16
255650,255640,257750,257640,1970,0.77%,2021-01-04,1399/10/15
256160,255640,256250,255670,520,0.20%,2021-01-03,1399/10/14
256990,256140,257050,256190,820,0.32%,2021-01-02,1399/10/13
257020,256940,257050,257010,30,0.01%,2020-12-31,1399/10/11
256980,256940,257050,257040,80,0.03%,2020-12-30,1399/10/10
257440,256940,257450,256960,400,0.16%,2020-12-29,1399/10/09
257350,257340,257450,257360,70,0.03%,2020-12-28,1399/10/08
257120,256840,257450,257430,320,0.12%,2020-12-27,1399/10/07
258570,257040,258650,257110,1510,0.59%,2020-12-26,1399/10/06
257810,257740,262050,258620,770,0.30%,2020-12-24,1399/10/04
255250,255140,257850,257850,2690,1.05%,2020-12-23,1399/10/03
254460,254440,255250,255160,690,0.27%,2020-12-22,1399/10/02
253940,252940,254550,254470,510,0.20%,2020-12-21,1399/10/01
255050,253940,255050,253960,1030,0.41%,2020-12-20,1399/09/30
257440,254940,257550,254990,3030,1.19%,2020-12-19,1399/09/29
258040,257940,258050,258020,10,-,2020-12-17,1399/09/27
258480,257940,259550,258030,510,0.20%,2020-12-16,1399/09/26
256960,256440,258550,258540,1590,0.62%,2020-12-15,1399/09/25
257980,256940,258050,256950,1090,0.42%,2020-12-14,1399/09/24
259960,257940,260050,258040,2010,0.78%,2020-12-13,1399/09/23
260750,259940,260750,260050,600,0.23%,2020-12-12,1399/09/22
261250,260640,261250,260650,880,0.34%,2020-12-10,1399/09/20
255970,255940,259850,259770,3830,1.50%,2020-12-09,1399/09/19
255980,255940,256050,255940,10,-,2020-12-08,1399/09/18
256010,255940,256050,255950,-,-,2020-12-07,1399/09/17
