<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
273990.00,273790.00,273990.00,273950.00,-,-,2022-01-01,1400/10/11
273950.00,273790.00,273950.00,273950.00,70.00,0.03%,2021-12-31,1400/10/10
273880.00,273880.00,273880.00,273880.00,-,-,2021-12-30,1400/10/09
274420.00,273790.00,274420.00,273880.00,450.00,0.16%,2021-12-29,1400/10/08
274340.00,274260.00,274420.00,274330.00,450.00,0.16%,2021-12-28,1400/10/07
273950.00,273860.00,274020.00,273880.00,140.00,0.05%,2021-12-27,1400/10/06
273950.00,273860.00,274020.00,274020.00,30.00,0.01%,2021-12-26,1400/10/05
273950.00,273860.00,274020.00,273990.00,30.00,0.01%,2021-12-25,1400/10/04
274000.00,273860.00,274020.00,274020.00,-,-,2021-12-24,1400/10/03
273970.00,273860.00,274020.00,274020.00,-,-,2021-12-22,1400/10/01
272850.00,272850.00,274020.00,274020.00,1010.00,0.37%,2021-12-21,1400/09/30
274020.00,272850.00,274020.00,273010.00,850.00,0.31%,2021-12-20,1400/09/29
273990.00,273860.00,274020.00,273860.00,160.00,0.06%,2021-12-19,1400/09/28
274350.00,273860.00,274420.00,274020.00,400.00,0.15%,2021-12-18,1400/09/27
274150.00,274060.00,274420.00,274420.00,250.00,0.09%,2021-12-17,1400/09/26
274170.00,274170.00,274170.00,274170.00,-,-,2021-12-16,1400/09/25
274220.00,274060.00,274220.00,274170.00,60.00,0.02%,2021-12-15,1400/09/24
274120.00,274050.00,274210.00,274110.00,30.00,0.01%,2021-12-14,1400/09/23
274650.00,274050.00,274690.00,274140.00,650.00,0.24%,2021-12-13,1400/09/22
276830.00,274630.00,276930.00,274790.00,2140.00,0.78%,2021-12-12,1400/09/21
276940.00,276770.00,276980.00,276930.00,20.00,0.01%,2021-12-11,1400/09/20
277160.00,276820.00,277160.00,276950.00,90.00,0.03%,2021-12-10,1400/09/19
277040.00,277040.00,277040.00,277040.00,-,-,2021-12-09,1400/09/18
277640.00,277000.00,277770.00,277040.00,730.00,0.26%,2021-12-08,1400/09/17
278160.00,277610.00,278240.00,277770.00,360.00,0.13%,2021-12-07,1400/09/16
278200.00,278080.00,278240.00,278130.00,110.00,0.04%,2021-12-06,1400/09/15
